--------------------------------------------------------------------------------"
"********Log file Created at:Date:2022_02_15 Time:01:14:26 PM*********"
"--------------------------------------------------------------------------------"
"{'pid': 1504, 'username': 'ashwini', 'name': 'gvfs-mtp-volume-monitor', 'vms': 238.60546875}"
"{'pid': 1508, 'username': 'ashwini', 'name': 'gvfs-goa-volume-monitor', 'vms': 243.046875}"
"{'pid': 1512, 'username': 'ashwini', 'name': 'goa-daemon', 'vms': 618.375}"
"{'pid': 1515, 'username': 'root', 'name': 'krfcommd', 'vms': 0.0}"
"{'pid': 1523, 'username': 'ashwini', 'name': 'goa-identity-service', 'vms': 319.6328125}"
"{'pid': 1527, 'username': 'ashwini', 'name': 'gdm-x-session', 'vms': 168.60546875}"
"{'pid': 1529, 'username': 'ashwini', 'name': 'Xorg', 'vms': 689.01953125}"
"{'pid': 1532, 'username': 'ashwini', 'name': 'gvfs-afc-volume-monitor', 'vms': 317.73046875}"
"{'pid': 1538, 'username': 'ashwini', 'name': 'gvfs-gphoto2-volume-monitor', 'vms': 240.9609375}"
"{'pid': 1560, 'username': 'ashwini', 'name': 'gnome-keyring-daemon', 'vms': 242.703125}"
"{'pid': 1571, 'username': 'ashwini', 'name': 'gnome-session-binary', 'vms': 194.63671875}"
"{'pid': 1638, 'username': 'ashwini', 'name': 'ssh-agent', 'vms': 5.8984375}"
"{'pid': 1662, 'username': 'ashwini', 'name': 'at-spi-bus-launcher', 'vms': 302.5703125}"
"{'pid': 1667, 'username': 'ashwini', 'name': 'dbus-daemon', 'vms': 7.20703125}"
"{'pid': 1676, 'username': 'ashwini', 'name': 'gnome-session-ctl', 'vms': 96.3828125}"
"{'pid': 1681, 'username': 'ashwini', 'name': 'gnome-session-binary', 'vms': 411.60546875}"
"{'pid': 1696, 'username': 'ashwini', 'name': 'gnome-shell', 'vms': 4365.1875}"
"{'pid': 1721, 'username': 'ashwini', 'name': 'ibus-daemon', 'vms': 315.75390625}"
"{'pid': 1725, 'username': 'ashwini', 'name': 'ibus-dconf', 'vms': 243.1953125}"
"{'pid': 1726, 'username': 'ashwini', 'name': 'ibus-extension-gtk3', 'vms': 279.9765625}"
"{'pid': 1728, 'username': 'ashwini', 'name': 'ibus-x11', 'vms': 204.109375}"
"{'pid': 1730, 'username': 'ashwini', 'name': 'ibus-portal', 'vms': 243.15234375}"
"{'pid': 1743, 'username': 'ashwini', 'name': 'at-spi2-registryd', 'vms': 159.01953125}"
"{'pid': 1749, 'username': 'ashwini', 'name': 'xdg-permission-store', 'vms': 238.50390625}"
